cid057519486	ensp00000234071	0	700	activation
cid057345799	ensp00000215727	0	700	activation
cid056947300	ensp00000311032	0	700	activation
cid056947300	ensp00000330237	0	700	activation
cid056842207	ensp00000363965	0	700	activation
cid056841987	ensp00000351273	0	700	activation
cid056841936	ensp00000253496	0	700	activation
cid054676069	ensp00000330237	0	700	activation
cid054676069	ensp00000311032	0	700	activation
cid053477714	ensp00000215832	0	700	activation
cid053477714	ensp00000234071	0	700	activation
cid053477714	ensp00000263025	0	700	activation
cid053477714	ensp00000296029	0	700	activation
cid053477714	ensp00000308541	0	700	activation
cid053477714	ensp00000322788	0	700	activation
cid049800166	ensp00000330237	0	700	activation
cid049800166	ensp00000311032	0	700	activation
cid049800166	ensp00000312664	0	700	activation
cid044828492	ensp00000358511	713	0	activation
cid044475945	ensp00000305422	0	700	activation
cid044284383	ensp00000315011	750	0	activation
cid044267098	ensp00000381333	800	0	activation
cid025201794	ensp00000269305	0	700	activation
cid025077406	ensp00000226574	0	700	activation
cid025077406	ensp00000310170	0	700	activation
cid025077406	ensp00000306245	0	700	activation
cid025077406	ensp00000384273	0	700	activation
cid025077405	ensp00000354569	0	800	activation
cid025077405	ensp00000226413	0	800	activation
cid025074886	ensp00000311032	0	700	activation
cid024978538	ensp00000311032	0	700	activation
cid024798684	ensp00000350005	0	900	activation
cid024798684	ensp00000387662	0	900	activation
cid024755482	ensp00000371221	0	900	activation
cid024755481	ensp00000371221	0	900	activation
cid024755481	ensp00000384651	0	900	activation
cid024180125	ensp00000212015	699	700	activation
cid023725087	ensp00000299766	0	800	activation
cid023725064	ensp00000350198	0	800	activation
cid023725064	ensp00000293897	0	800	activation
cid023673461	ensp00000215832	0	700	activation
cid023673461	ensp00000263025	0	700	activation
cid023644561	ensp00000287820	0	800	activation
cid023584939	ensp00000265724	0	700	activation
cid022833473	ensp00000351908	0	700	activation
cid022245026	ensp00000369050	0	700	activation
cid022186063	ensp00000310928	0	700	activation
cid022186063	ensp00000262735	0	700	activation
cid022186063	ensp00000287820	0	700	activation
cid016727410	ensp00000359285	0	800	activation
cid016219007	ensp00000354859	0	800	activation
cid016134956	ensp00000362353	700	0	activation
cid016132331	ensp00000293897	900	800	activation
cid016132265	ensp00000361965	0	700	activation
cid016132139	ensp00000299766	900	700	activation
cid016131447	ensp00000230882	0	800	activation
cid016129682	ensp00000272847	0	800	activation
cid016129627	ensp00000309968	0	700	activation
cid016129627	ensp00000263025	0	700	activation
cid016129627	ensp00000215832	0	700	activation
cid016129627	ensp00000261826	0	700	activation
cid016129627	ensp00000260408	0	700	activation
cid016129627	ensp00000275493	0	700	activation
cid016129627	ensp00000330237	0	700	activation
cid016129627	ensp00000311032	0	700	activation
cid016129627	ensp00000363512	0	700	activation
cid016126898	ensp00000272190	900	0	activation
cid016077373	ensp00000354859	0	800	activation
cid011977753	ensp00000270202	0	700	activation
cid011977753	ensp00000311032	0	700	activation
cid011970143	ensp00000290122	0	900	activation
cid011970143	ensp00000355941	0	900	activation
cid011970143	ensp00000414360	0	900	activation
cid011947681	ensp00000226574	0	700	activation
cid011947681	ensp00000298700	0	700	activation
cid011947681	ensp00000311032	0	700	activation
cid011947681	ensp00000330237	0	700	activation
cid011947681	ensp00000339151	0	700	activation
cid011947681	ensp00000357669	0	800	activation
cid011947681	ensp00000359424	0	700	activation
cid011947681	ensp00000384273	0	700	activation
cid011826859	ensp00000336528	0	700	activation
cid011706629	ensp00000311032	0	700	activation
cid011706629	ensp00000298700	0	700	activation
cid011667893	ensp00000354859	0	800	activation
cid011637204	ensp00000271915	0	700	activation
cid011637204	ensp00000262888	0	700	activation
cid011561383	ensp00000330237	0	700	activation
cid011561383	ensp00000311032	0	700	activation
cid011545682	ensp00000298700	0	700	activation
cid011545682	ensp00000311032	0	700	activation
cid011497668	ensp00000267163	0	700	activation
cid011497668	ensp00000311032	0	700	activation
cid011430856	ensp00000316244	900	800	activation
cid011430856	ensp00000277010	750	800	activation
cid011228183	ensp00000298700	0	700	activation
cid011228183	ensp00000302564	900	150	activation
cid011228183	ensp00000311032	0	700	activation
cid011210478	ensp00000311032	0	700	activation
cid011020241	ensp00000003084	0	700	activation
cid011020241	ensp00000196061	0	800	activation
cid011020241	ensp00000243222	0	900	activation
cid011020241	ensp00000306100	0	900	activation
cid011020241	ensp00000376776	0	900	activation
cid010479502	ensp00000335544	0	800	activation
cid010479502	ensp00000295589	0	800	activation
cid010453764	ensp00000387699	0	700	activation
cid010226415	ensp00000298700	0	700	activation
cid010226415	ensp00000311032	0	700	activation
cid010198725	ensp00000330237	0	700	activation
