cid000028871	M01
cid000028871	M02
cid000002369	C07
cid000002369	S01
cid000002194	A16
cid000042113	N01
cid000017676	N05
cid000031477	S01
cid006918558	G04
cid000002202	D05
cid000041049	N02
cid005462337	A07
cid000006526	N05
cid000048040	C01
cid000028688	R01
cid000001979	S01
cid000025959	V03
cid000001997	C01
cid000132999	C01
cid000002249	C07
cid000004679	A02
cid000021751	V08
cid000068671	C10
cid000071534	A03
cid000004649	J04
cid053487900	C10
cid000062867	N05
cid000002771	N06
cid000002997	N05
cid000004114	D05
cid000003476	A10
cid000003928	J01
cid000014520	A05
cid000004019	N04
cid000034457	L01
cid000002805	R05
cid000002681	D08
cid000002681	R02
cid016683103	S01
cid000024470	D08
cid000004915	L01
cid000062984	A02
cid000002816	N05
cid000016473	C03
cid000004857	J01
cid000004195	C01
cid003014382	A12
cid000040589	N06
cid000002016	R02
cid000013916	D01
cid000003607	A01
cid000017557	P01
cid051537605	J01
cid000014190	N06
cid000060814	N01
cid000072141	D04
cid000068925	D01
cid000068925	G01
cid000002073	C01
cid000003950	L01
cid000005902	A03
cid000065825	C01
cid000003393	N05
cid000000271	A12
cid000441332	G02
cid016213095	B05
cid000003750	L01
cid000003275	C01
cid000005355	N05
cid000003932	N06
cid000002562	R05
cid000072054	G04
cid000005748	A03
cid000156418	H05
cid000123631	L01
cid000000702	D08
cid000000702	V03
cid000005193	N05
cid000002658	J01
cid000017477	V08
cid000003066	N02
cid000004913	C01
cid000016230	C03
cid000003675	N06
cid000010413	N01
cid000010413	N07
cid000000723	D05
cid000005402	D01
cid000004753	N03
cid003081884	L03
cid000004775	A16
cid023663989	M01
cid000002803	C02
cid000002803	N02
cid000002803	S01
cid000062705	A01
cid000062705	D01
cid000001065	C01
cid000005342	M04
cid000104865	C02
cid000014652	A02
cid000000823	N07
cid000002826	N01
cid000002826	R02
cid000002826	S01
cid000002826	S02
cid000005533	N06
cid016129620	H01
cid016129620	V04
cid000050942	R03
cid000004476	C10
cid000071815	P01
cid000003340	C01
cid000002226	J01
cid000060936	M05
