cid000028871	M01AB
cid000028871	M02AA
cid000002369	C07AB
cid000002369	S01ED
cid000002194	A16AX
cid000042113	N01AB
cid000017676	N05AB
cid000031477	S01ED
cid006918558	G04BD
cid000002202	D05AC
cid000041049	N02AX
cid005462337	A07EC
cid000006526	N05BC
cid000048040	C01BC
cid000028688	R01AA
cid000001979	S01EB
cid000025959	V03AB
cid000001997	C01AA
cid000132999	C01EB
cid000002249	C07AB
cid000004679	A02BC
cid000021751	V08AD
cid000068671	C10AB
cid000071534	A03BB
cid000004649	J04AA
cid053487900	C10AB
cid000062867	N05AC
cid000002771	N06AB
cid000002997	N05BA
cid000004114	D05AD
cid000004114	D05BA
cid000003476	A10BB
cid000003928	J01FF
cid000014520	A05BA
cid000004019	N04AA
cid000034457	L01AA
cid000002805	R05DB
cid000002681	D08AJ
cid000002681	R02AA
cid016683103	S01AX
cid000024470	D08AL
cid000004915	L01XB
cid000062984	A02BA
cid000002816	N05BA
cid000016473	C03BA
cid000004857	J01CA
cid000004195	C01CA
cid003014382	A12CC
cid000040589	N06AB
cid000002016	R02AA
cid000013916	D01AA
cid000003607	A01AB
cid000017557	P01AX
cid051537605	J01AA
cid000014190	N06BX
cid000060814	N01AH
cid000072141	D04AA
cid000068925	D01AC
cid000068925	G01AF
cid000002073	C01BA
cid000003950	L01AD
cid000005902	A03AA
cid000065825	C01BD
cid000003393	N05CD
cid000000271	A12AA
cid000441332	G02AD
cid016213095	B05AA
cid000003750	L01XX
cid000003275	C01DX
cid000005355	N05AL
cid000003932	N06BX
cid000002562	R05DB
cid000072054	G04BD
cid000005748	A03AB
cid000156418	H05BX
cid000123631	L01XE
cid000000702	D08AX
cid000000702	V03AB
cid000000702	V03AZ
cid000005193	N05CA
cid000002658	J01DC
cid000017477	V08AC
cid000003066	N02CA
cid000004913	C01BA
cid000016230	C03DB
cid000003675	N06AF
cid000010413	N01AX
cid000010413	N07XX
cid000000723	D05AX
cid000005402	D01AE
cid000005402	D01BA
cid000004753	N03AX
cid003081884	L03AX
cid000004775	A16AX
cid023663989	M01AX
cid000002803	C02AC
cid000002803	N02CX
cid000002803	S01EA
cid000062705	A01AB
cid000062705	D01AE
cid000001065	C01BA
cid000005342	M04AB
cid000104865	C02KX
cid000014652	A02BX
cid000000823	N07AX
cid000002826	N01BC
cid000002826	R02AD
cid000002826	S01HA
cid000002826	S02DA
cid000005533	N06AX
cid016129620	H01AC
cid016129620	V04CD
cid000050942	R03DA
cid000004476	C10AD
cid000071815	P01AB
cid000003340	C01CA
cid000002226	J01GB
cid000060936	M05BA
cid000004051	M01AC
cid009832423	C10BA
cid000010112	A02AC
cid000010112	A12AA
cid025077993	H01CA
cid006436054	A07AX
cid000071682	N06BA
cid000002763	C10AB
cid000036273	J01CA
cid000002726	N05AA
cid000005668	C04AX
cid000000253	A11HA
cid006918182	M05BX
cid005381226	J04AB
cid000208908	L01XE
cid000039214	L01AD
cid000004043	S01BA
cid000011192	A16AX
cid000005471	J01CA
cid000000864	A16AX
cid000002733	M03BB
cid000000187	S01EB
cid000002548	M02AB
cid000002548	N01BX
