cid002836600	ensp00000367207
cid000083852	ensp00000272167
cid000114709	ensp00000265724
cid011267663	ensp00000270202
cid011267663	ensp00000338018
cid011267663	ensp00000215832
cid011267663	ensp00000263025
cid011267663	ensp00000353483
cid000033641	ensp00000311032
cid000033641	ensp00000330237
cid000033641	ensp00000244741
cid000033641	ensp00000388648
cid000033641	ensp00000269305
cid024762158	ensp00000292401
cid024762158	ensp00000264712
cid024762158	ensp00000252244
cid024762158	ensp00000385834
cid000000010	ensp00000258494
cid000097226	ensp00000329623
cid000097226	ensp00000302564
cid000097226	ensp00000311032
cid000097226	ensp00000417281
cid054692492	ensp00000260682
cid054692492	ensp00000337915
cid054692492	ensp00000336528
cid012968471	ensp00000293288
cid012968471	ensp00000329623
cid012968471	ensp00000302564
cid012968471	ensp00000318822
cid012968471	ensp00000311032
cid012968471	ensp00000351273
cid012968471	ensp00000330237
cid012968471	ensp00000307786
cid012968471	ensp00000398495
cid012968471	ensp00000301838
cid012968471	ensp00000347979
cid012968471	ensp00000356694
cid012968471	ensp00000355759
cid012968471	ensp00000347858
cid011724959	ensp00000311032
cid011724959	ensp00000330237
cid011724959	ensp00000411532
cid000001318	ensp00000370254
cid000001318	ensp00000370129
cid000001318	ensp00000369927
cid000001318	ensp00000263126
cid000001318	ensp00000300060
cid000001318	ensp00000263080
cid000001318	ensp00000356919
cid000001318	ensp00000003084
cid000001318	ensp00000364310
cid000001318	ensp00000338018
cid000001318	ensp00000216117
cid000001318	ensp00000264832
cid000001318	ensp00000264144
cid000001318	ensp00000368798
cid000001318	ensp00000236826
cid000001318	ensp00000347379
cid000001318	ensp00000331736
cid000001318	ensp00000270142
cid000001318	ensp00000356022
cid000001318	ensp00000348069
cid000001318	ensp00000264657
cid000001318	ensp00000356256
cid000001318	ensp00000361125
cid000001407	ensp00000270202
cid000001407	ensp00000227155
cid000001407	ensp00000275493
cid000001407	ensp00000013034
cid000183679	ensp00000342007
cid000183679	ensp00000301141
cid000183679	ensp00000324648
cid000183679	ensp00000285979
cid000183679	ensp00000360372
cid000183679	ensp00000260682
cid000183679	ensp00000353820
cid000183679	ensp00000252945
cid000183679	ensp00000337915
cid000183679	ensp00000222982
cid000006278	ensp00000252945
cid000006278	ensp00000023897
cid000006278	ensp00000295454
cid000006278	ensp00000411593
cid000009117	ensp00000242057
cid000009117	ensp00000369050
cid000009117	ensp00000260630
cid000009117	ensp00000355759
cid000232446	ensp00000336528
cid000232446	ensp00000356958
cid000122016	ensp00000265132
cid000122016	ensp00000345179
cid000122016	ensp00000224181
cid000122016	ensp00000263598
cid000122016	ensp00000360841
