cid000004449	ensp00000367959	antagonist	inhibitor
cid000002995	ensp00000367959	antagonist	inhibitor
cid000005002	ensp00000367959	antagonist	inhibitor
cid000060795	ensp00000367959	antagonist	inhibitor
cid000002729	ensp00000367959	antagonist	inhibitor
cid000002801	ensp00000367959	antagonist	inhibitor
cid000115237	ensp00000367959	antagonist	inhibitor
cid000006077	ensp00000367959	antagonist	inhibitor
cid000062867	ensp00000367959	antagonist	inhibitor
cid000009429	ensp00000367959	antagonist	inhibitor
cid000005454	ensp00000367959	antagonist	inhibitor
cid000071360	ensp00000367959	antagonist	inhibitor
cid000060149	ensp00000367959	antagonist	inhibitor
cid000156326	ensp00000367959	antagonist	inhibitor
cid000068867	ensp00000367959	antagonist	inhibitor
cid000213046	ensp00000367959	antagonist	inhibitor
cid000005748	ensp00000306490	antagonist	inhibitor
cid000002344	ensp00000306490	antagonist	inhibitor
cid000003746	ensp00000306490	antagonist	inhibitor
cid000004167	ensp00000306490	antagonist	inhibitor
cid000006729	ensp00000306490	antagonist	inhibitor
cid000005572	ensp00000306490	antagonist	inhibitor
cid000004642	ensp00000306490	antagonist	inhibitor
cid000004919	ensp00000306490	antagonist	inhibitor
cid000003290	ensp00000306490	antagonist	inhibitor
cid000003661	ensp00000306490	antagonist	inhibitor
cid000004120	ensp00000306490	antagonist	inhibitor
cid000005568	ensp00000306490	antagonist	inhibitor
cid000004157	ensp00000306490	antagonist	inhibitor
cid000004848	ensp00000306490	antagonist	inhibitor
cid000003622	ensp00000306490	antagonist	inhibitor
cid000005184	ensp00000306490	antagonist	inhibitor
cid000002784	ensp00000306490	antagonist	inhibitor
cid000004934	ensp00000306490	antagonist	inhibitor
cid000004974	ensp00000306490	antagonist	inhibitor
cid000003042	ensp00000306490	antagonist	inhibitor
cid000002381	ensp00000306490	antagonist	inhibitor
cid000002911	ensp00000306490	antagonist	inhibitor
cid000002905	ensp00000306490	antagonist	inhibitor
cid000003494	ensp00000306490	antagonist	inhibitor
cid000005512	ensp00000306490	antagonist	inhibitor
cid000004634	ensp00000306490	antagonist	inhibitor
cid000003158	ensp00000306490	antagonist	inhibitor
cid000003354	ensp00000306490	antagonist	inhibitor
cid000003055	ensp00000306490	antagonist	inhibitor
cid000004057	ensp00000306490	antagonist	inhibitor
cid011228026	ensp00000306490	antagonist	inhibitor
cid000004196	ensp00000231509	antagonist	inhibitor
cid000002462	ensp00000231509	antagonist	inhibitor
cid000059768	ensp00000358301	antagonist	inhibitor
cid000002369	ensp00000358301	antagonist	inhibitor
cid000004171	ensp00000358301	antagonist	inhibitor
cid000002249	ensp00000358301	antagonist	inhibitor
cid000005478	ensp00000358301	antagonist	inhibitor
cid000005253	ensp00000358301	antagonist	inhibitor
cid000004946	ensp00000358301	antagonist	inhibitor
cid000003869	ensp00000358301	antagonist	inhibitor
cid000002405	ensp00000358301	antagonist	inhibitor
cid000002119	ensp00000358301	antagonist	inhibitor
cid000002156	ensp00000358301	antagonist	inhibitor
cid000002585	ensp00000358301	antagonist	inhibitor
cid000004411	ensp00000358301	antagonist	inhibitor
cid000003914	ensp00000358301	antagonist	inhibitor
cid000031477	ensp00000358301	antagonist	inhibitor
cid000002372	ensp00000358301	antagonist	inhibitor
cid000004883	ensp00000358301	antagonist	inhibitor
cid000004631	ensp00000358301	antagonist	inhibitor
cid000071301	ensp00000358301	antagonist	inhibitor
cid000002475	ensp00000358301	antagonist	inhibitor
cid000004736	ensp00000394624	antagonist	inhibitor
cid000004428	ensp00000394624	antagonist	inhibitor
cid000004419	ensp00000394624	antagonist	inhibitor
cid000004425	ensp00000394624	antagonist	inhibitor
cid005488547	ensp00000394624	antagonist	inhibitor
cid005361917	ensp00000394624	antagonist	inhibitor
cid000104741	ensp00000206249	antagonist	inhibitor
cid000003387	ensp00000206249	antagonist	inhibitor
cid000005478	ensp00000305372	antagonist	inhibitor
cid000005253	ensp00000305372	antagonist	inhibitor
cid000002583	ensp00000305372	antagonist	inhibitor
cid000003869	ensp00000305372	antagonist	inhibitor
cid000002119	ensp00000305372	antagonist	inhibitor
cid000003914	ensp00000305372	antagonist	inhibitor
cid000031477	ensp00000305372	antagonist	inhibitor
cid000004205	ensp00000280155	antagonist	inhibitor
cid000005775	ensp00000280155	antagonist	inhibitor
cid000004768	ensp00000280155	antagonist	inhibitor
cid000002866	ensp00000280155	antagonist	inhibitor
cid000004747	ensp00000280155	antagonist	inhibitor
cid000003746	ensp00000255380	antagonist	inhibitor
cid000004642	ensp00000255380	antagonist	inhibitor
cid000004919	ensp00000255380	antagonist	inhibitor
cid000072054	ensp00000255380	antagonist	inhibitor
cid000004157	ensp00000255380	antagonist	inhibitor
cid000003661	ensp00000255380	antagonist	inhibitor
cid000003622	ensp00000255380	antagonist	inhibitor
cid000006126	ensp00000255380	antagonist	inhibitor
cid000004974	ensp00000255380	antagonist	inhibitor
cid000005512	ensp00000255380	antagonist	inhibitor
cid000004634	ensp00000255380	antagonist	inhibitor
cid000003158	ensp00000255380	antagonist	inhibitor
cid000003055	ensp00000255380	antagonist	inhibitor
cid000060830	ensp00000255380	antagonist	inhibitor
cid000154058	ensp00000255380	antagonist	inhibitor
cid000003775	ensp00000255380	antagonist	inhibitor
cid000004057	ensp00000255380	antagonist	inhibitor
cid006918558	ensp00000255380	antagonist	inhibitor
cid011228026	ensp00000255380	antagonist	inhibitor
cid000003746	ensp00000319984	antagonist	inhibitor
cid000004642	ensp00000319984	antagonist	inhibitor
cid000004919	ensp00000319984	antagonist	inhibitor
cid000003661	ensp00000319984	antagonist	inhibitor
cid000004120	ensp00000319984	antagonist	inhibitor
cid000067425	ensp00000319984	antagonist	inhibitor
cid000005568	ensp00000319984	antagonist	inhibitor
cid000004157	ensp00000319984	antagonist	inhibitor
cid000003622	ensp00000319984	antagonist	inhibitor
cid000060695	ensp00000319984	antagonist	inhibitor
cid000004974	ensp00000319984	antagonist	inhibitor
cid000005512	ensp00000319984	antagonist	inhibitor
cid000004634	ensp00000319984	antagonist	inhibitor
cid000003158	ensp00000319984	antagonist	inhibitor
cid000003354	ensp00000319984	antagonist	inhibitor
cid000003055	ensp00000319984	antagonist	inhibitor
