cid000028871	M01A
cid000028871	M02A
cid000002369	C07A
cid000002369	S01E
cid000002194	A16A
cid000042113	N01A
cid000017676	N05A
cid000031477	S01E
cid006918558	G04B
cid000002202	D05A
cid000041049	N02A
cid005462337	A07E
cid000006526	N05B
cid000048040	C01B
cid000028688	R01A
cid000001979	S01E
cid000025959	V03A
cid000001997	C01A
cid000132999	C01E
cid000002249	C07A
cid000004679	A02B
cid000021751	V08A
cid000068671	C10A
cid000071534	A03B
cid000004649	J04A
cid053487900	C10A
cid000062867	N05A
cid000002771	N06A
cid000002997	N05B
cid000004114	D05A
cid000004114	D05B
cid000003476	A10B
cid000003928	J01F
cid000014520	A05B
cid000004019	N04A
cid000034457	L01A
cid000002805	R05D
cid000002681	D08A
cid000002681	R02A
cid016683103	S01A
cid000024470	D08A
cid000004915	L01X
cid000062984	A02B
cid000002816	N05B
cid000016473	C03B
cid000004857	J01C
cid000004195	C01C
cid003014382	A12C
cid000040589	N06A
cid000002016	R02A
cid000013916	D01A
cid000003607	A01A
cid000017557	P01A
cid051537605	J01A
cid000014190	N06B
cid000060814	N01A
cid000072141	D04A
cid000068925	D01A
cid000068925	G01A
cid000002073	C01B
cid000003950	L01A
cid000005902	A03A
cid000065825	C01B
cid000003393	N05C
cid000000271	A12A
cid000441332	G02A
cid016213095	B05A
cid000003750	L01X
cid000003275	C01D
cid000005355	N05A
cid000003932	N06B
cid000002562	R05D
cid000072054	G04B
cid000005748	A03A
cid000156418	H05B
cid000123631	L01X
cid000000702	D08A
cid000000702	V03A
cid000005193	N05C
cid000002658	J01D
cid000017477	V08A
cid000003066	N02C
cid000004913	C01B
cid000016230	C03D
cid000003675	N06A
cid000010413	N01A
cid000010413	N07X
cid000000723	D05A
cid000005402	D01A
cid000005402	D01B
cid000004753	N03A
cid003081884	L03A
cid000004775	A16A
cid023663989	M01A
cid000002803	C02A
cid000002803	N02C
cid000002803	S01E
cid000062705	A01A
cid000062705	D01A
cid000001065	C01B
cid000005342	M04A
cid000104865	C02K
cid000014652	A02B
cid000000823	N07A
cid000002826	N01B
cid000002826	R02A
cid000002826	S01H
cid000002826	S02D
cid000005533	N06A
cid016129620	H01A
cid016129620	V04C
cid000050942	R03D
cid000004476	C10A
cid000071815	P01A
cid000003340	C01C
cid000002226	J01G
cid000060936	M05B
cid000004051	M01A
cid009832423	C10B
cid000010112	A02A
cid000010112	A12A
cid025077993	H01C
cid006436054	A07A
cid000071682	N06B
cid000002763	C10A
cid000036273	J01C
cid000002726	N05A
